uid,response_no,unix_time,response
user4,21,1611027127867,"{""phase"": ""TEST"", ""expr"": ""E091_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 5312}"
user4,22,1611027135859,"{""phase"": ""TEST"", ""expr"": ""E096_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 7991}"
user4,23,1611027140178,"{""phase"": ""TEST"", ""expr"": ""E072_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 0, ""rt"": 4317}"
user4,24,1611027143802,"{""phase"": ""TEST"", ""expr"": ""E085_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 3622}"
user4,25,1611027150028,"{""phase"": ""TEST"", ""expr"": ""E013_CW"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 6224}"
user4,26,1611027155211,"{""phase"": ""TEST"", ""expr"": ""E048_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 4, ""rt"": 5180}"
user4,27,1611027159310,"{""phase"": ""TEST"", ""expr"": ""E093_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4098}"
user4,28,1611027165714,"{""phase"": ""TEST"", ""expr"": ""E067_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 0, ""rt"": 6402}"
user4,29,1611027171521,"{""phase"": ""TEST"", ""expr"": ""E100_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 5806}"
user4,30,1611027176058,"{""phase"": ""TEST"", ""expr"": ""E051_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 1, ""rt"": 4535}"
user4,31,1611027179530,"{""phase"": ""TEST"", ""expr"": ""E032_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3470}"
user4,32,1611027183258,"{""phase"": ""TEST"", ""expr"": ""E030_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3727}"
user4,33,1611027187418,"{""phase"": ""TEST"", ""expr"": ""E087_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4158}"
user4,34,1611027192418,"{""phase"": ""TEST"", ""expr"": ""E011_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 4999}"
user5,2,1611027243090,"{""phase"": ""TEST"", ""expr"": ""E047_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 5653}"
user5,3,1611027247743,"{""phase"": ""TEST"", ""expr"": ""E012_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4649}"
user5,4,1611027255022,"{""phase"": ""TEST"", ""expr"": ""E046_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 7277}"
user5,5,1611027263812,"{""phase"": ""TEST"", ""expr"": ""E083_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 8787}"
user5,6,1611027268633,"{""phase"": ""TEST"", ""expr"": ""E072_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 4819}"
user5,7,1611027272809,"{""phase"": ""TEST"", ""expr"": ""E045_CW"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 4174}"
user5,8,1611027277943,"{""phase"": ""TEST"", ""expr"": ""E009_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 4, ""rt"": 5133}"
user5,9,1611027283262,"{""phase"": ""TEST"", ""expr"": ""E070_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5318}"
